,company,Job_title,location,involment,industry_emp,application,follower_link,state,city,country,Followers
0,Supertails,Junior Trainer,"Bangalore Urban, Karnataka, India",Full-time,51-200 employees,See how you compare to 4 applicants. Try Premium for free,https://www.linkedin.com/company/supertails/life/, Karnataka,Bangalore Urban, India,"8,987 followers"
1,Corizo,Data Science Student Training & Internship,India,Internship,51-200 employees,See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,945 followers"
2,Corizo,Finance Intern,"Bengaluru, Karnataka, India",Internship,51-200 employees,See how you compare to 29 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/, Karnataka,Bengaluru, India,"33,945 followers"
3,Corizo,Data Science Intern,"Noida, Uttar Pradesh, India",Internship,51-200 employees,See how you compare to 8 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/, Uttar Pradesh,Noida, India,"33,945 followers"
4,Jet Airways,Project Assistant,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Maharashtra,Mumbai, India,"288,999 followers"
5,Sutherland,Lead - Data Analytics,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 4 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Telangana,Hyderabad, India,"481,661 followers"
6,Sutherland,Associate Manager - Data Analytics,"Bengaluru, Karnataka, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Karnataka,Bengaluru, India,"481,661 followers"
7,Jet Airways,Data Engineer,"Rajkot, Gujarat, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 7 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Gujarat,Rajkot, India,"288,999 followers"
8,Sutherland,Job Template: Associate Professional - Finance Transformation Process - Accountant,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 3 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Mumbai, India,"481,661 followers"
9,PwC India,Intern/ Trainee,"Gurugram, Haryana, India",Full-time · Internship,"5,001-10,000 employees · Business Consulting and Services",See how you compare to 114 applicants. Try Premium for free,https://www.linkedin.com/company/pwc-india/life/, Haryana,Gurugram, India,"914,682 followers"
10,AECOM,Associate,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"10,001+ employees · Civil Engineering",See how you compare to 84 applicants. Try Premium for free,https://www.linkedin.com/company/aecom/life/, Karnataka,Bengaluru, India,"1,554,531 followers"
11,AECOM,Architecture I,"Chennai, Tamil Nadu, India",Full-time · Entry level,"10,001+ employees · Civil Engineering",See how you compare to 47 applicants. Try Premium for free,https://www.linkedin.com/company/aecom/life/, Tamil Nadu,Chennai, India,"1,554,531 followers"
12,Kunduz,Doubt Solving Expert (Mathematics),India,Part-time,51-200 employees,See how you compare to 30 applicants. Try Premium for free,https://www.linkedin.com/company/kunduz/life/,None,None,India,"9,280 followers"
13,Optum,"Data Engineering Analyst - Python - Bangalore, KA","Bengaluru, Karnataka, India",Full-time · Entry level,"10,001+ employees · Hospitals and Health Care",See how you compare to 24 applicants. Try Premium for free,https://www.linkedin.com/company/optum/life/, Karnataka,Bengaluru, India,"571,061 followers"
14,Accenture in India,Tieto Energy Components Application Support Engineer,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Accenture in India. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Telangana,Hyderabad, India,"1,496,996 followers"
15,Alstom,PI Engineer,"Bengaluru, Karnataka, India","10,001+ employees · Rail Transportation",3 company alumni · 6 school alumni,See how you compare to 3 applicants. Try Premium for free,https://www.linkedin.com/company/alstom/life/, Karnataka,Bengaluru, India,"1,081,314 followers"
16,Jet Airways,Mechanical Engineer,"Amritsar, Punjab, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 30 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Punjab,Amritsar, India,"288,999 followers"
17,Alstom,Product Cost Analyst,"Bengaluru, Karnataka, India","10,001+ employees · Rail Transportation",3 company alumni · 6 school alumni,See how you compare to 38 applicants. Try Premium for free,https://www.linkedin.com/company/alstom/life/, Karnataka,Bengaluru, India,"1,081,314 followers"
18,Mahindra Group,Assistant/Deputy Manager - Asset Management (Equipment Procurement),Mumbai Metropolitan Region,Full-time · Mid-Senior level,"10,001+ employees · Executive Offices",See how you compare to 16 applicants. Try Premium for free,https://www.linkedin.com/company/mahindragroup/life/,None,None,Mumbai Metropolitan Region,"1,071,302 followers"
19,Mahindra Group,Manager - Finance & Accounts,Mumbai Metropolitan Region,Full-time · Mid-Senior level,"10,001+ employees · Executive Offices",See how you compare to 169 applicants. Try Premium for free,https://www.linkedin.com/company/mahindragroup/life/,None,None,Mumbai Metropolitan Region,"1,071,302 followers"
20,Kunduz,Doubt Solving Expert (Physics),India,Part-time,51-200 employees,See how you compare to 14 applicants. Try Premium for free,https://www.linkedin.com/company/kunduz/life/,None,None,India,"9,280 followers"
21,Accenture in India,New Associate-Procure to Pay Processing,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 43 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Maharashtra,Mumbai, India,"1,496,996 followers"
22,Alstom,Procure to Pay Associate 1,"Bengaluru, Karnataka, India","10,001+ employees · Rail Transportation",3 company alumni · 6 school alumni,See how you compare to 48 applicants. Try Premium for free,https://www.linkedin.com/company/alstom/life/, Karnataka,Bengaluru, India,"1,081,314 followers"
23,Corizo,Finance Intern,India,Internship,51-200 employees,See how you compare to 15 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,946 followers"
24,Corizo,Data science trainee and intern,India,Internship,51-200 employees,See how you compare to 6 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,946 followers"
25,Corizo,Training and Internship in Web Development,"Bengaluru East, Karnataka, India",Internship,51-200 employees,See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/, Karnataka,Bengaluru East, India,"33,946 followers"
26,Sutherland,Lead - Data Analytics,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 5 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Karnataka,Bengaluru, India,"481,661 followers"
27,Sutherland,Associate,"Chennai, Tamil Nadu, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 7 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Tamil Nadu,Chennai, India,"481,661 followers"
28,Sutherland,Prof-Research Investment Banking,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Mumbai, India,"481,661 followers"
29,Jet Airways,Maintenance Engineer,"Kolkata, West Bengal, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 172 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, West Bengal,Kolkata, India,"288,999 followers"
30,Jet Airways,Petroleum Engineer,"Delhi, Delhi, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 12 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Delhi,Delhi, India,"288,999 followers"
31,Jet Airways,Project Engineer,"Kolkata, West Bengal, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 87 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, West Bengal,Kolkata, India,"288,999 followers"
32,Wipro,Project Lead,"Pune, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 44 applicants. Try Premium for free,https://www.linkedin.com/company/wipro/life/, Maharashtra,Pune, India,"6,414,402 followers"
33,Ng Networks Solution,Ground Services / Ticketing / Fresher,"Bengaluru North, Karnataka, India",Full-time · Executive,11-50 employees · Airlines and Aviation,See how you compare to 8 applicants. Try Premium for free,https://www.linkedin.com/company/ng-networks-solution/life/, Karnataka,Bengaluru North, India,60 followers
34,Accenture in India,Analyst-Record To Report,"Bengaluru, Karnataka, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 18 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Karnataka,Bengaluru, India,"1,496,997 followers"
35,Accenture in India,New Associate-Procurement management,"Gurgaon, Haryana, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 50 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Haryana,Gurgaon, India,"1,496,997 followers"
36,IDFC FIRST Bank,Process Lead-Credit Underwriting,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · Banking",See how you compare to 35 applicants. Try Premium for free,https://www.linkedin.com/company/idfcfirstbank/life/, Maharashtra,Mumbai, India,"867,545 followers"
37,Mahindra Group,Hiring ___ now Sr. Manager- Process Assurance,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · Executive Offices",See how you compare to 5 applicants. Try Premium for free,https://www.linkedin.com/company/mahindragroup/life/, Maharashtra,Mumbai, India,"1,071,305 followers"
38,PwC India,Associate,Greater Kolkata Area,Full-time · Entry level,"5,001-10,000 employees · Business Consulting and Services",See how you compare to 40 applicants. Try Premium for free,https://www.linkedin.com/company/pwc-india/life/,None,None,Greater Kolkata Area,"914,685 followers"
39,Accenture in India,Transaction Processing New Associate-Healthcare Claims,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 12 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Maharashtra,Mumbai, India,"1,496,998 followers"
40,Collegetoppr,Freelancer Subject Matter Expert Economics,"Delhi, India",Contract,11-50 employees,See how you compare to 6 applicants. Try Premium for free,https://www.linkedin.com/company/collegetoppr/life/,Delhi,None, India,"5,640 followers"
41,Wood,Senior Engineer - Quality Assurance,Greater Kolkata Area,Full-time,"10,001+ employees · Oil and Gas",See how you compare to 50 applicants. Try Premium for free,https://www.linkedin.com/company/woodplc/life/,None,None,Greater Kolkata Area,"964,295 followers"
42,Fresh2Day,Vice President of Store Operations,"Chennai, Tamil Nadu, India",Full-time,51-200 employees,See how you compare to 114 applicants. Try Premium for free,https://www.linkedin.com/company/fresh2day/life/, Tamil Nadu,Chennai, India,785 followers
43,Siemens Gamesa,Senior Engineer - Production,"Nellore, Andhra Pradesh, India",Full-time · Entry level,"10,001+ employees · Renewable Energy Semiconductor Manufacturing",See how you compare to 38 applicants. Try Premium for free,https://www.linkedin.com/company/siemensgamesa/life/, Andhra Pradesh,Nellore, India,"666,848 followers"
44,Caterpillar Inc.,Senior Associate Engineer - Design,"Aurangabad, Maharashtra, India",Full-time,"10,001+ employees · Machinery Manufacturing",See how you compare to 69 applicants. Try Premium for free,https://www.linkedin.com/company/caterpillar-inc/life/, Maharashtra,Aurangabad, India,"1,495,571 followers"
45,Johnson Controls,Application Engineer,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · Industrial Machinery Manufacturing",See how you compare to 22 applicants. Try Premium for free,https://www.linkedin.com/company/johnson-controls/life/, Maharashtra,Mumbai, India,"1,188,432 followers"
46,Genpact,Management Trainee - GMS Visa Team-COR023371,"Hyderabad, Telangana, India",Full-time · Associate,"10,001+ employees · IT Services and IT Consulting",See how you compare to 31 applicants. Try Premium for free,https://www.linkedin.com/company/genpact/life/, Telangana,Hyderabad, India,"2,264,659 followers"
47,Ericsson,SITE ENGINEER,"Mumbai, Maharashtra, India",Full-time,"10,001+ employees · IT Services and IT Consulting",See how you compare to 67 applicants. Try Premium for free,https://www.linkedin.com/company/ericsson/life/, Maharashtra,Mumbai, India,"1,853,385 followers"
48,thyssenkrupp,Site Q.A Engineer - Fixed Term Contract,"Pune, Maharashtra, India",Contract · Mid-Senior level,"10,001+ employees · Industrial Machinery Manufacturing",See how you compare to 26 applicants. Try Premium for free,https://www.linkedin.com/company/thyssenkrupp/life/, Maharashtra,Pune, India,"580,364 followers"
49,Corizo,Data Science Student Intern,India,Internship,51-200 employees,See how you compare to 18 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,946 followers"
50,Sutherland,Associate Professional - Finance Transformation Process - Accountant,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 3 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Mumbai, India,"481,661 followers"
51,Sutherland,Job Template: Associate - Customer Service,"Chennai, Tamil Nadu, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Tamil Nadu,Chennai, India,"481,661 followers"
52,Sutherland,Job Template: Associate - Customer Service,"Chennai, Tamil Nadu, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Tamil Nadu,Chennai, India,"481,661 followers"
53,Corizo,Finance Training and Internship,India,Internship,51-200 employees,See recent hiring trends for Corizo. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,946 followers"
54,Corizo,Cyber Security Specialist,India,Internship,51-200 employees,See how you compare to 8 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,946 followers"
55,Jet Airways,Application Engineer,"Bengaluru, Karnataka, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 25 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Karnataka,Bengaluru, India,"288,999 followers"
56,Accenture in India,Transaction Processing New Associate-Healthcare Claims,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 6 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Maharashtra,Mumbai, India,"1,497,000 followers"
57,Accenture in India,Analyst-Record To Report,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 20 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Maharashtra,Mumbai, India,"1,497,000 followers"
